Site_Name,Paper_ID,Lat,Long,Elevation,offset_2011,offset_2012,offset_2013,offset_2014,offset_2015,offset_2016,offset_4.5_peakbf2,offset_8.5_peakbf2
Sweetwater,1,32.89928,-116.5849,1168,0.017501892521977425,0.025258205831050873,0.017593994736671448,0.0583825558423996,0.06339515000581741,0.039796650409698486,0.013313603587448597,0.014062062837183475
West Fork Mojave River,2,34.28425,-117.37539,1092,0.04402206465601921,0.042147181928157806,0.03498000651597977,0.07335733622312546,0.07768256217241287,0.08158034086227417,0.017327141016721725,0.021533483639359474
NFMF Tule,3,36.20081,-118.65092,1288,0.03138106316328049,0.07016333937644958,0.08545539528131485,0.09871800243854523,0.07770640403032303,0.04818854480981827,0.024907974526286125,0.03917428106069565
Redwoods,4,36.69096,-118.90961,1682,0.03515667840838432,0.05475900322198868,0.08615156263113022,0.09291943162679672,0.07180503755807877,0.053441088646650314,0.0124402130022645,0.023255126550793648
Wawona,5,37.539,-119.654,1214,0.026330219581723213,0.044262874871492386,0.07936499267816544,0.07564099133014679,0.0483577586710453,0.03988763317465782,0.03696040064096451,0.07363226264715195
Oregon Creek,6,39.39442,-121.08302,440,0.04468373581767082,0.030389754101634026,0.08695314079523087,0.06367620825767517,0.10003051906824112,0.03533758595585823,0.06210737302899361,0.06923993676900864
Little Jameson Creek,7,39.74298,-120.70401,1593,0.026764070615172386,0.037861280143260956,0.0843488797545433,0.06990307569503784,0.07536838203668594,0.03981681913137436,0.009802572429180145,0.01168842799961567
Deep Creek,8,41.66546,-123.11341,680,0.07459666579961777,0.009621046483516693,0.02896210551261902,0.07026582956314087,0.06727367639541626,0.04867219552397728,0.04081876948475838,0.04386332631111145
O'Neil Creek,9,41.80979,-123.11887,1092,0.028414789587259293,0.023993972688913345,0.060903966426849365,0.0722833201289177,0.06773877143859863,0.03892785683274269,0.021928023546934128,0.032907456159591675
Deer Creek,10,42.27411,-123.63617,393,0.023863140493631363,0.013693686574697495,0.05457984283566475,0.06678684800863266,0.06699926406145096,0.03298867493867874,0.01968769170343876,0.023157736286520958
Rock Creek,11,43.37876,-122.95207,1168,0.02661280333995819,0.010412239469587803,0.017186325043439865,0.05500970408320427,0.0661238506436348,0.03385462239384651,0.01040333416312933,0.015042448416352272
Mill Creek,12,34.07808,-116.87558,1990,0.0095223318785429,0.05234446004033089,0.04883357882499695,0.07514314353466034,0.061971187591552734,0.05756640434265137,0.0070354207418859005,0.015895625576376915
