S,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p1_low,p1_up,p2_low,p2_up,p3_low,p3_up,p4_low,p4_up,p5_low,p5_up,p6_low,p6_up,p7_low,p7_up,p8_low,p8_up,p9_low,p9_up,p10_low,p10_up,p11_low,p11_up,p12_low,p12_up,env
-1.9,0,0,1,0,0,0,0,0,0,0,0,0,1,4,1,3,1,1.6499999999999915,1,4,1,4,1,5,1,4,1,3,1,3,1,4,1,3,1,3,MAT
-1.7,0,1,0,1,0,0,0,0,0,0,0,0,1,6,1,5,1,6,1,2,1,6,1,5,1,5,1,2,1,6,1,4,1,4,1,4.975000000000023,MAT
-1.5,0,0,0,1,0,0,0,0,0,0,0,0,1,6,1,4,1,4,1,3,1,5,1,3,1,5,1,1.6999999999999957,1,5,1,5,1,3,1,3,MAT
-1.3,0,1,0,3,1,0,0,1,0,0,0,0,1,8,1,6,1,5,1,3,1,6,1,5,1,6,1,1,1,6,1,7,1,4,1,4.2999999999999545,MAT
-1.1,0,0,0,0,1,0,2,1,0,0,0,0,1,9,1,8,1,4,1,5,1,8,1,7,1,7,1,3,1,5.824999999999932,1,7,1,5,1,6,MAT
-0.9,2,0,0,6,0,0,1,3,1,1,0,0,1,10,1,5,1,5,1,4,1,8,1,5,1,6,1,1,1,10,1,9,1,5,1,6,MAT
-0.7,4,2,5,6,1,2,1,3,3,3,0,3,2,11,1,7,1,5,1,3,1,8,1,7,1,8,1,2,1,8,2,12,1,5,1,6,MAT
-0.5,15,12,8,10,11,8,4,6,1,21,5,15,2,10,1,9,1,6,1,5,1,10,1,5.5,1,8,1,3.2749999999999773,2,11,2,10,1,5,1,8,MAT
-0.3,16,26,19,8,30,17,16,14,22,20,19,13,3,13,1,9,1,6,1,4,2,11,1,7,1,8,1,2,1,8,2,11,1,5,1,7,MAT
-0.1,92,110,79,75,80,100,91,28,160,53,94,83,11,27,15,33,11,28,53,83,6,20,10,25,4,16,11,27,11,27,12,29,11,28,7,21,MAT
0.1,58,49,92,81,84,95,100,142,57,130,94,114,83,107,96,124,122,155,78,108,73,101,140,172,107,136,154,184,135,165,120,150,63,89,148,177,MAT
0.3,27,17,21,27,26,20,5,10,14,7,20,13,2,10,2,12,1,6,1,4,2,11,1,6,1,8,1,2,1,8,2,11,1,5,1,8,MAT
0.5,30,19,25,31,16,11,6,13,5,15,13,10,2,10,1,8,1,5,1,5,2,13,1,5,1,7,1,4,1,9,2,11,1,5,1,7,MAT
0.7,26,13,23,20,10,7,3,10,3,12,7,8,1,7,1,7,1,4,1,3.8999999999999773,1,9,1,6,1,8,1,2,1,9,1,11,1,4,1,6,MAT
0.9,1,2,2,5,1,0,0,2,1,1,0,1,1,7,1,5,1,5,1,4,1,10,1,5,1,6,1,1.7749999999999915,1,9,1,9,1,4,1,6,MAT
1.1,1,0,1,7,1,1,0,1,0,3,0,1,1,6,1,9,1,4,1,5,1,9,1,5,1,8,1,3,1,5,1,7,1,4,1,5.975000000000023,MAT
1.3,2,0,0,4,0,1,0,2,0,0,0,0,1,5,1,5,1,4.975000000000023,1,3,1,8,1,4,1,7,1,1,1,6,1,7,1,4,1,4,MAT
1.5,0,0,1,3,1,0,0,0,0,0,0,0,1,4,1,5,1,3,1,4,1,6,1,3,1,6,1,1.2000000000000028,1,5,1,5,1,2,1,4,MAT
1.7,0,0,0,0,0,1,0,1,0,0,0,0,1,4,1,4,1,5,1,2,1,7,1,4,1,7,1,2,1,5,1,4,1,3,1,4,MAT
1.9,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,3.949999999999932,1,2,1,3,1,5,1,3,1,5,1,2,1,3,1,3,1,2,1,3,MAT
-1.9,0,1,0,0,0,0,0,1,0,0,0,0,1,8,1,6,1,2,1,5,1,6,1,7,1,6,1,4,1,4,1,6,1,3,1,4,MAP
-1.7,1,2,0,0,1,0,0,1,1,0,0,0,2,12,1,7,1,9,1,3,1,8,1,9,1,8,1,2.224999999999966,1,9,1,7,1,6,1,7,MAP
-1.5,0,5,0,5,0,0,0,1,0,0,0,1,2,11,1,7,1,6,1,4,1,7,1,5,1,7,1,2,1,8,1,9,1,3,1,5,MAP
-1.3,0,2,0,7,0,0,0,6,1,1,0,0,4,16.024999999999977,1,9,1,9,1,5,1,9,1,9,1,9,1,2,1,9,2,12,1,6,1,7,MAP
-1.1,0,1,1,8,8,1,0,4,0,0,0,0,6,19,3,14,1,6,1,7,2,12,2,11,1,9,1,4,1,8,2,11,1,7,1,10,MAP
-0.9,5,5,0,12,1,5,5,3,1,1,0,1,6,18,1,9,1,8,1,6,2,12,1,9,1,9,1,2,4,17,4,15,1,7,1,10,MAP
-0.7,5,4,11,16,10,9,3,21,1,2,1,4,9,25,2,12,1,8,1,4,2,12,2,11,2,11,1,2,2,13,6,19,1,8,1,9,MAP
-0.5,47,30,19,32,27,39,18,28,4,21,11,17,7,20,5,17,1,9,1,7,3.950000000000003,15,1,9,2,12,1,5,4,16,5,18,1,8,3,14,MAP
-0.3,43,52,39,35,79,83,72,56,36,46,36,17,12,29.024999999999977,3.9750000000000014,15,1,9,1,6,4,17,2,11,2,11,1,2,2,11.049999999999955,5,19,1,8,2,13,MAP
-0.1,186,185,156,140,160,174,200,70,228,169,179,106,25,47.02499999999998,39,67,30,53,106,152,15.975000000000001,35,24,46,9,24,29,52,26,47,30,55,25,49,20,41,MAP
0.1,95,93,165,126,191,140,163,204,183,247,224,322,184,219,220,262,293,339,216,267,210,250.02499999999998,317.975,363,224,266,350.97499999999997,391,318,360,279,322,109,147,313,354,MAP
0.3,48,34,63,46,52,40,31,32,76,42,67,27,5,19,8,22.024999999999977,1,7,1,5,4,16,1,9.225000000000023,2,11,1,2,3,13,5,18,1,7,3,13,MAP
0.5,50,36,42,66,23,44,22,29,27,33,49,18,6,20,3,13,1,7,1,8,5.975000000000001,20,1,9,2,12,1,6,3,15,5.975000000000001,18.024999999999977,1,8,2,13,MAP
0.7,48,29,42,62,8,34,12,19,14,23,28,12,3,13,2,11,1,5,1,5,2,12.100000000000023,1,9,2,12,1,3,3,14,5,18.024999999999977,1,7,1,9,MAP
0.9,5,3,5,18,1,1,0,6,1,2,0,2,3,13,1,8,1,6,1,5,3,14,1,8,1,10,1,2,3,14,4,15,1,6.9249999999999545,2,10,MAP
1.1,2,0,1,14,1,1,0,10,2,1,2,2,1,10,3,13,1,5,1,7,3,14.024999999999977,1,7,2,10,1,4,1,8,2,10,1,7,1,9,MAP
1.3,0,2,1,2,0,0,0,3,0,0,0,0,1,9,1,8,1,5,1,4,2,10,1,6,1,10,1,2,1,9,2,11,1,5,1,6,MAP
1.5,1,0,1,7,0,2,0,2,0,0,0,0,1,5,1,7,1,3.1750000000000114,1,5,1,7,1,4,1,8,1,1.5749999999999957,1,6,1,8,1,3,1,5.024999999999977,MAP
1.7,1,0,1,0,0,0,0,2,0,0,0,0,1,6,1,6,1,6,1,3,2,11,1,6,1,9,1,2,1,7,1,6,1,5,1,6,MAP
1.9,0,0,0,1,1,0,0,0,0,0,0,0,1,4,1,5,1,2,1,4,1,6,1,4,1,7,1,3,1,4,1,5,1,3,1,4,MAP
-1.9,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1,1.7999999999999972,1,4,1,5,1,5,1,4,1,3,1,3,1,4,1,3,1,3,CMD
-1.7,0,0,1,1,0,0,0,0,0,0,0,0,1,5,1,5,1,6,1,2,1,7,1,6,1,6,1,2,1,6,1,4,1,5,1,4,CMD
-1.5,1,0,0,4,0,0,0,1,1,0,0,0,1,5,1,4,1,4,1,3,1,5,1,3,1,5,1,1.5,1,5,1,5,1,3,1,4,CMD
-1.3,0,1,0,3,0,1,0,1,0,0,0,0,1,8,1,6,1,5.2999999999999545,1,4,1,7,1,6,1,5,1,2,1,6,1,7,1,4,1,4,CMD
-1.1,1,0,2,6,0,0,0,3,0,2,0,1,1,9,1,8,1,4,1,5.699999999999932,1,9,1,7,1,6,1,3,1,5,1,7,1,5,1,6,CMD
-0.9,5,2,1,10,2,1,1,1,1,0,0,1,1,10,1,5,1,6,1,4,1,9,1,6,1,6,1,1,2,10,1,9,1,4.024999999999977,1,6,CMD
-0.7,3,2,10,7,2,1,2,3,2,0,5,3,2,12,1,8,1,5,1,3,1,8,1,7,1,7,1,2,1,8,2,11,1,5,1,6,CMD
-0.5,16,10,13,21,7,11,7,6,11,18,12,9,2,10,1,9,1,6,1,5,2,11,1,6,1,8,1,3.3999999999999773,1.9250000000000007,10.074999999999932,2,11,1,5,1,8,CMD
-0.3,26,10,34,21,29,20,10,16,30,24,32,8,2,12,2,12,1,6,1,4,2,12,1,7,1,7,1,1,1,7,2,11,1,5,1,7,CMD
-0.1,68,64,89,67,92,74,116,30,148,56,106,152,14,32,14,32,13,30.024999999999977,61,93.02499999999998,8,22,11,28,4,15,14,30,12,28.024999999999977,14,31,16,34,7,21,CMD
0.1,97,104,85,81,105,114,91,142,71,127,107,85,84,111,104,134,141,174,92,125,78,105,161,194,126,155,177,208,161,193,143,174,88,115.02499999999998,170,200,CMD
0.3,16,29,19,23,26,41,24,20,19,27,11,7,2,11,2,11,1,5,1,4,2,12,1,6.475000000000023,1,7,1,2,1,8,2,11,1,5,1,7,CMD
0.5,28,26,14,32,20,33,16,12,10,31,6,7,2,10,1,9.25,1,6,1,5,3,14,1,6,1,7,1,4,1,9,2,11,1,5,1,7,CMD
0.7,23,17,10,25,12,21,7,15,8,16,3,8,1,8,1,7,1,4,1,4,1,10,1,6,1,7,1,2,1,9,2,11,1,5,1,6,CMD
0.9,3,3,1,5,3,1,1,3,0,1,0,0,1,7,1,6,1,5,1,4,2,10,1,5,1,6,1,2,1,9,1,10,1,4,1,6,CMD
1.1,1,0,0,3,4,1,0,2,1,0,1,0,1,7,1,9,1,4,1,5,2,11,1,5,1,7,1,3,1,5,1,7,1,4,1,5,CMD
1.3,1,2,1,0,0,0,0,2,0,1,0,1,1,6,1,5,1,4,1,3,1,8,1,4,1,6.699999999999932,1,2,1,6,1,7,1,3,1,4,CMD
1.5,0,1,1,0,0,0,0,0,0,0,0,0,1,4,1,5,1,3,1,3,1,6,1,3,1,5,1,1.375,1,4,1,5.350000000000023,1,3,1,4,CMD
1.7,0,1,2,0,0,0,0,0,0,0,0,0,1,5,1,4,1,5,1,2,1,7,1,4,1,6,1,2,1,5,1,4,1,3,1,4,CMD
1.9,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,4,1,2,1,3,1,5,1,3,1,5,1,3,1,3,1,4,1,2,1,3,CMD
