S,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p1_low,p1_up,p2_low,p2_up,p3_low,p3_up,p4_low,p4_up,p5_low,p5_up,p6_low,p6_up,p7_low,p7_up,p8_low,p8_up,p9_low,p9_up,p10_low,p10_up,p11_low,p11_up,p12_low,p12_up,env
-1.9,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,7,1,2,3,13,1,7,1,6,1,9,1,2,1,6,1,6,1,7,1,4,CMD
-1.7,0,0,1,1,0,0,0,0,0,0,0,0,2,12,1,9,2,12,1,5,2,11,2,12,1.9250000000000007,10,1,1.4499999999999957,2,12,1,6,3,13,1,6,CMD
-1.5,1,0,0,4,0,0,0,1,1,0,0,0,2,12,1,7,1,5,1,9,1,9,1,7,1,9,NA,NA,1,9.199999999999932,1,8,1,7,1,5,CMD
-1.3,0,1,0,3,0,1,0,1,0,0,0,0,5,17,2,11,1.8250000000000028,10,1,8,2,11,3,12,2,12,NA,NA,2,11,1,10,2,12,1,6.449999999999932,CMD
-1.1,1,0,2,6,0,0,0,3,0,2,0,1,5,18,3,13,2,10,2,12,3,14,2,12,2,12,1,2,1,9.199999999999932,2,11,2,11,1,8,CMD
-0.9,5,2,1,10,2,1,1,1,1,0,0,1,5,16,1,8,2,11,1,9,2,11.049999999999955,2,11,2,10,NA,NA,5,18,3,14,2,11,1,9,CMD
-0.7,3,2,10,7,2,1,2,3,2,0,5,3,5,17,3,13,1,6,1,8,2,11,2,10,3,14,1,2,4,15,4,16,2,10,1,8,CMD
-0.5,16,10,13,21,7,11,7,6,11,18,12,9,6,18,3,14,2,12,2,10,3.950000000000003,14,2,10,3,13,1,2,4.975000000000001,17,4,16,1,9,2,10,CMD
-0.3,26,10,34,21,29,20,10,16,30,24,32,8,6,18,4,15,1,6,1,6,3,13,1,10,2,12,NA,NA,2,13,4,15,1,8.25,1,9,CMD
-0.1,68,64,89,67,92,74,116,30,148,56,106,152,7,21,12,28,11,28,14,32,9,26,7,20,4,16,10,26,10,26,12,31,8,22,8,23,CMD
0.1,97,104,85,81,105,114,91,142,71,127,107,85,47,68,73,99,81,104,60,83,59.975,85,107.975,134,86,110,136,165,120,147.02499999999998,108,134,75,103,159,186,CMD
0.3,16,29,19,23,26,41,24,20,19,27,11,7,2,10.024999999999977,4,15,1,8,1,5,2,10,1,8,2,12,NA,NA,1,10,4,15,1,8,1,9,CMD
0.5,28,26,14,32,20,33,16,12,10,31,6,7,1,10,2,12,1,6,2,10,2,11,1,6,2,12,1,3,2,12,3,14,1,7,1,9,CMD
0.7,23,17,10,25,12,21,7,15,8,16,3,8,1,7,1,7,1,5,1,3,1,8,1,7,1,10,1,1,1,10,3,14,1,6,1,6,CMD
0.9,3,3,1,5,3,1,1,3,0,1,0,0,1,7,1,7,1,4,1,6,1,8,1,6,2,10,NA,NA,1,10,2,11.024999999999977,1,5,1,6,CMD
1.1,1,0,0,3,4,1,0,2,1,0,1,0,1,6,1,10,1,3,1,5,1,8,1,6,1,9,1,2,1,5,1,8,1,4,1,7,CMD
1.3,1,2,1,0,0,0,0,2,0,1,0,1,1,4,1,5,1,4,1,5,1,6,1,3,1,9,1,1,1,5,1,8,1,4,1,5,CMD
1.5,0,1,1,0,0,0,0,0,0,0,0,0,1,3,1,3,1,3,1,2,1,4,1,2,1,7,NA,NA,1,4,1,6,1,2,1,4,CMD
1.7,0,1,2,0,0,0,0,0,0,0,0,0,1,3,1,4,1,4,1,2,1,5,1,4,1,8,1,1,1,5,1,4,1,3,1,4,CMD
1.9,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,1,1,1,3,1,4,1,4,1,6,1,2,1,3,1,4,1,2.099999999999966,1,3,CMD
