S,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p1_low,p1_up,p2_low,p2_up,p3_low,p3_up,p4_low,p4_up,p5_low,p5_up,p6_low,p6_up,p7_low,p7_up,p8_low,p8_up,p9_low,p9_up,p10_low,p10_up,p11_low,p11_up,p12_low,p12_up,env
-1.9,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,1,1,2,1,2,1,2,1,2.0749999999999886,1,1.75,1,1.3499999999999943,1,2,1,1,1,2,MAT
-1.7,0,0,0,0,0,0,0,0,0,0,0,0,1,2.349999999999966,1,2,1,2,1,1,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1,2,MAT
-1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,1.7749999999999915,1,2,1,2,1,2,1,1,1,2,1,2,1,1,1,2,MAT
-1.3,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,2,1,3,1,2,1,2,MAT
-1.1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,1,2,1,2,1,2,1,2,1,3,1,1,1,2,1,2,1,2,1,2,MAT
-0.9,0,0,0,0,1,0,0,1,0,0,0,0,1,3,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,3,1,3,1,2,1,2,MAT
-0.7,0,1,0,0,3,0,0,1,0,0,0,0,1,4,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,3,1,3,1,2,1,2,MAT
-0.5,1,4,0,0,3,2,0,0,0,4,1,2,1,4,1,3,1,2,1,2,1,3,1,2,1,3,1,2,1,3,1,3,1,2,1,3,MAT
-0.3,0,3,2,1,3,5,3,1,2,0,5,1,1,4,1,3,1,2,1,2,1,3,1,2.099999999999966,1,2.0500000000000114,1,1,1,3,1,3,1,2,1,2.375,MAT
-0.1,8,9,6,9,7,12,9,0,21,9,8,5,1,5,1,7,1,6,4,14,1,4,1,5,1,4,1,6,1,5,1,6,1,5,1,5,MAT
0.1,10,2,15,15,7,11,10,20,6,12,7,22,5,14,8,18,11,21,5,14,5,14,14,24,9,20,14,24,12,23,9,20,5,13,13,23,MAT
0.3,5,1,3,4,2,2,2,0,0,1,4,0,1,3,1,3,1,2,1,2,1,3,1,2,1,2,1,1,1,3,1,3,1,2,1,3,MAT
0.5,7,4,1,3,5,0,1,0,2,1,6,1,1,3,1,2,1,2,1,2,1,3,1,2,1,2,1,2,1,3,1,3,1,2,1,3,MAT
0.7,6,6,5,1,3,0,0,0,2,1,4,1,1,3,1,2.5749999999999886,1,2,1,2,1,3,1,2,1,3,1,1,1,3,1,3,1,2,1,2,MAT
0.9,1,1,0,2,0,0,0,0,0,0,0,1,1,3,1,2,1,2,1,2,1,3,1,2,1,2,1,1,1,3,1,3,1,2,1,2,MAT
1.1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,2,1,2,1,2,1,3,1,2,1,3,1,2,1,2,1,2,1,2,1,2,MAT
1.3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,1.3499999999999943,1,3,1,2,1,3,1,1,1,2,1,2,1,1.8499999999999943,1,2,MAT
1.5,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2,1,2,1,1.25,1,2,1,1.375,1,2,1,1,1,2,1,2,1,1.6749999999999972,1,2,MAT
1.7,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,1.9750000000000014,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1,2,MAT
1.9,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,1,1,2,1,2,1,1.9249999999999972,1,2,1,1,1,1,1,2,1,2,1,2,MAT
-1.9,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,1,1,2,1,2,1,2,1,2,1,1.6000000000000014,1,2,1,2,1,1,1,2,MAP
-1.7,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,2,1,2.125,1,2,1,2,1,1,1,2,1,2,1,2,1,2,MAP
-1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1,1,1,2,1,2,1,1,1,2,MAP
-1.3,0,1,0,1,0,0,0,1,0,0,0,0,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,2,1,3,1,2,1,2,MAP
